x,y
-10.3999,3.03744
-10.3675,3.13254
-10.3553,3.22861
-10.4242,3.25413
-10.4464,3.27587
-10.3999,3.82049
-10.392,4.19818
-10.4033,4.15113
-10.3873,4.25957
-10.4408,4.64833
-10.3706,4.6653
-10.4116,4.88866
-10.44,4.88249
-10.4497,5.10515
-10.4343,5.24339
-10.3556,5.56529
-10.3841,5.98016
-10.4265,6.5314
-10.3538,6.63244
-10.4271,10.5291
-10.3148,-10.2161
-10.3124,-7.47623
-10.2946,-7.46936
-10.2916,-6.70273
-10.2685,-6.66634
-10.3168,-6.48615
-10.306,-6.45524
-10.3049,-6.39567
-10.3377,-6.29503
-10.3099,-6.25116
-10.2874,-5.93616
-10.3353,-5.07422
-10.279,-4.95259
-10.3142,-4.82609
-10.27,-4.2677
-10.3036,-4.2618
-10.2872,-4.18615
-10.2985,-3.84149
-10.2785,-3.65859
-10.3103,-3.71365
-10.2776,-3.67935
-10.2843,-3.66254
-10.3388,-3.53101
